"book","day","english","korean","sentence1","translation1","sentence2","translation2","sentence3","translation3","sentence4","translation4"
"1","1","individual ","① n. 개인 a. 개인의 ② a. 각각[개개]의 ","Every individual has rights as an individual, not as a member of this or that nation./individual*_______________","모든 사람은 이 나라 또는 저 나라의 구성원이 아니라 한 개인으로서의 권리를 가지고 있다.","","","","","",""
"1","1","folk ","① n. 사람들; 여러분 ② a. 민속[민간]의 n. 민속 음악, 민요 ","The cars are so expensive that ordinary folk cannot afford to buy them./folk*_______________","그 자동차들은 너무 비싸서 일반 사람들은 그것들은 살 여유가 없다.","All right, folks, now let's try it again./folks*_______________s","자 여러분 지금 다시 한 번 해봅시다.","","","",""
"1","1","mob ","n. 군중, 폭도 ","An excited mob gathered in front of the presidential palace./mob*_______________","흥분한 군중들이 대통령궁 앞에 모였다.","","","","","",""
"1","1","mankind ","n. 인류","The future of mankind depends on scientific and technical development./mankind*_______________","인류의 미래는 과학과 기술의 발전에 달려있다.","","","","","",""
"1","1","humanity ","① n. 인류 ② n. 인간애, 인정; 인간성 ","War is a crime against humanity and a sin against God./humanity*_______________","전쟁은 인류에 대한 범죄이며 신에 대한 죄이다.","","","","","",""
"1","1","anthropology ","n. 인류학 ","Anthropology is the scientific study of mankind./Anthropology*_______________","인류학은 인류에 대한 과학적 연구이다.","","","","","",""
"1","1","race ","① n. 인종 ② n. 경주 v. 경주하다","People of many different races live together in the United States./races*_______________s","미국에는 많은 다양한 인종의 사람들이 함께 산다.","","","","","",""
"1","1","tribe ","n. 부족 ","The Masai tribe is one of the oldest tribes in Africa./tribe*_______________","마사이 부족은 아프리카에서 가장 오래된 부족 중의 하나이다.","","","","","",""
"1","1","ethnic ","a. 민족[인종]의, 민족 특유의 n. 소수 민족의 사람[출신자]","There are still wide economic differences between the different ethnic groups./ethnic*_______________","다른 민족 집단 간에는 여전히 큰 경제적 차이가 있다.","","","","","",""
"1","1","gender ","n. 성, 성별","Traditional male and female gender roles have changed very rapidly./gender*_______________","전통적인 남성, 여성의 성 역할은 매우 빠르게 변화되어 왔다.","","","","","",""
"1","1","male ","n. 남성, 수컷 a. 남성[수컷]의 ","The male lion is larger and stronger than the female./male*_______________","수컷 사자는 암컷보다 더 크고 힘이 세다.","","","","","",""
"1","1","female ","n. 여성, 암컷 a. 여성[암컷]의 ","54% of all college students were male, and the other 46% were female./female*_______________","모든 대학생 중에 54%는 남성이고 나머지 46%는 여성이었다.","","","","","",""
"1","1","fellow ","① 남자, 녀석, 놈 ② n. 동료, 동배, 동지 a. 동료의, 동업의, 같은 처지에 있는","George is an honest fellow who can be trusted./fellow*_______________","조지는 신뢰할 수 있는 정직한 남자이다.","","","","","",""
"1","1","masculine ","a. 남성의, 남성다운","His strong and masculine appearance appealed to her./masculine*_______________","그의 튼튼하고 남성다운 외모가 그녀의 관심을 끌었다.","","","","","",""
"1","1","feminine ","a. 여성의, 여성다운 ","Her beautiful long blonde hair made her look feminine and attractive./feminine*_______________","그녀의 아름다운 긴 금발은 그녀를 매우 여성스럽고 매력적으로 보이게 만들었다.","","","","","",""
"1","1","surname ","n. 성 ","I remember his name was John but I don't know his surname./surname*_______________","나는 그의 이름이 존인 것으로 기억하는데 그의 성은 모르겠습니다.","","","","","",""
"1","1","anonymous ","a. 익명의, 신원 불명의 ","He received an anonymous letter threatening to kill him./anonymous*_______________","그는 그를 죽이겠다고 협박하는 한 익명의 편지를 받았다.","","","","","",""
"1","1","autograph ","a. 사인 v. 사인하다","A group of teenage fans asked for his autograph./autograph*_______________","한 무리의 십대 팬들이 그의 사인을 요청했다.","","","","","",""
"1","1","generation ","① n. 세대 ② n. 발생 ","That tradition has been handed down from generation to generation./generation*_______________","그 전통은 대대로 전하여 내려왔다.","","","","","",""
"1","1","infant ","n. 유아, 젖먹이, 아기 ","A newborn infant should be fed every three hours./infant*_______________","신생아는 세 시간마다 젖을 먹어야 한다.","","","","","",""
"1","1","adolescent ","n. 청년, 젊은이 a. 청년기의 ","Many adolescent problems are likely to be related to family conflicts./adolescent*_______________","많은 청소년 문제는 가족 갈등과 관련이 있을 가능성이 많다.","","","","","",""
"1","1","household ","n. 가구, 세대 a. 가사[가정]의 ","Almost all households in this country now have at least one car./households*_______________s","이 나라의 거의 모든 가구는 현재 적어도 한 대의 자동차를 가지고 있다.","","","","","",""
"1","1","domestic ","① a. 가정의, (용도가) 가정용의 ② a. 국내의","Domestic violence is a serious social problem and a crime./Domestic*_______________","가정 폭력은 심각한 사회문제이며 범죄이다.","","","","","",""
"1","1","offspring ","n. 자식; (동물의) 새끼 ","Most parents have problems with their teenage offspring./offspring*_______________","대부분의 부모들은 그들의 십대의 자식들에 대한 문제를 갖고 있다.","","","","","",""
"1","1","sibling ","n. (한 명의) 형제자매 ","I have five siblings: three brothers and two sisters./siblings*_______________s","나는 다섯 명의 형제자매 즉 세 명의 형제와 두 명의 자매가 있다.","","","","","",""
"1","1","nephew ","n. 남자 조카 ","This boy is my nephew, my sister's son./nephew*_______________","이 소년은 나의 남자조카, 내 누나의 아들입니다.","","","","","",""
